LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
10006463541,,Writing Content of Non-Resident File,Data Runs(in Volume) : 53151(2),,,,,,,Update Mapping Pairs,0x65DF,6
10006463870,,Updating Modified Time,ModifiedTime : 2023-12-25 22:04:55 -> 2023-12-25 22:14:21,SVCHOST.EXE-DB425447.pf <Guessed>,\Windows\Prefetch\SVCHOST.EXE-DB425447.pf,,,,,Update Resident Value,0x7CC,2
10006464147,,Writing Content of Non-Resident File,Data Runs(in Volume) : 53692(2),,,,,,,Update Mapping Pairs,0x7CC,2
10006464427,,Updating Modified Time,ModifiedTime : 2023-12-25 21:42:06 -> 2023-12-25 22:14:21,SVCHOST.EXE-C9E3B372.pf <Guessed>,\Windows\Prefetch\SVCHOST.EXE-C9E3B372.pf,,,,,Update Resident Value,0x1DBB,2
10006464700,,Writing Content of Non-Resident File,Data Runs(in Volume) : 59781(2),,,,,,,Update Mapping Pairs,0x1DBB,2
10006464980,,Updating Modified Time,ModifiedTime : 2023-12-25 16:10:08 -> 2023-12-25 22:14:21,RUNTIMEBROKER.EXE-29EC9CDD.pf <Guessed>,\Windows\Prefetch\RUNTIMEBROKER.EXE-29EC9CDD.pf,,,,,Update Resident Value,0x25600,2
10006465255,,Writing Content of Non-Resident File,Data Runs(in Volume) : 6716(3),,,,,,,Update Mapping Pairs,0x25600,2
10006471268,,# Check Point,,,,,,,,Compensation Log Record,0x546E965D,2
10006471305,,Updating Modified Time,ModifiedTime : 2023-12-25 22:14:05 -> 2023-12-25 22:14:26,last_run_current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\last_run_current_log.txt,,,,,Update Resident Value,0xC5,4
10006471388,,Updating Modified Time,ModifiedTime : 2023-12-25 22:13:46 -> 2023-12-25 22:14:17,EtwRTDefenderAuditLogger.etl <Guessed>,\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl,,,,,Update Resident Value,0x661F,0
10006471688,,Updating Modified Time,ModifiedTime : 2023-12-25 17:26:39 -> 2023-12-25 22:14:16,ActivitiesCache.db-wal <Guessed>,\Users\blueangel\AppData\Local\ConnectedDevicesPlatform\7ab9d739d8f1f711\ActivitiesCache.db-wal,,,,,Update Resident Value,0x7AFB,0
10006471913,,Updating Modified Time,ModifiedTime : 2023-12-25 22:13:28 -> 2023-12-25 22:14:29,scope_v2.json <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\sentry\scope_v2.json,,,,,Update Resident Value,0x6C31,2
10006472172,,Writing Content of Non-Resident File,Data Runs(in Volume) : 671212(13),,,,,,,Update Mapping Pairs,0x6C31,2
10006472712,,Writing Content of Non-Resident File,Data Runs(in Volume) : 1486661(13),,,,,,,Update Mapping Pairs,0x6C31,2
10006478449,,# Check Point,,,,,,,,Compensation Log Record,0x546EB3AA,2
10006478486,,Updating Modified Time,ModifiedTime : 2023-12-25 22:14:26 -> 2023-12-25 22:14:32,last_run_current_log.txt <Guessed>,\Users\blueangel\AppData\Local\CiscoSpark\last_run_current_log.txt,,,,,Update Resident Value,0xC5,4
10006483849,,# Check Point,,,,,,,,Compensation Log Record,0x546EC96A,2
10006484038,12/25/2023 22:14:43.1443,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/25/2023 22:14:43.1443,12/25/2023 22:14:43.1443,12/25/2023 22:14:43.1443,12/25/2023 22:14:43.1443,Initialize File Record Segment,0xA3B,6
10006484265,12/25/2023 22:14:43.1443,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0xA3B,6
10006484902,12/25/2023 22:14:43.1443,Updating Modified Time,ModifiedTime : 2023-12-25 22:14:18 -> 2023-12-25 22:14:43,UDB-User23847576+RemoteGraph.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql,,,,,Update Resident Value,0x6E75,2
