LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
6292941872,01/06/2023 00:09:22.922,,,dark,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\assets\dark,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146D9,2
6292941931,01/06/2023 00:09:22.922,,,light,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\assets\light,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146EA,2
6292942625,01/06/2023 00:09:22.922,,,notheme,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\assets\notheme,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146EF,6
6292942684,01/06/2023 00:09:22.922,,,assets,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\assets,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146D9,0
6292942743,01/06/2023 00:09:22.922,,,camera,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\camera,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146F3,0
6292942802,01/06/2023 00:09:22.922,,,emojis,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\emojis,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146F9,4
6292942869,01/06/2023 00:09:22.922,,,Dark,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\Places\Dark,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146FE,0
6292942928,01/06/2023 00:09:22.922,,,Light,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\Places\Light,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x1470C,2
6292942987,01/06/2023 00:09:22.922,,,Places,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\Places,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146FD,6
6292943046,01/06/2023 00:09:22.922,,,System,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images\System,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x1471E,0
6292943105,01/06/2023 00:09:22.922,,,Images,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Images,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x146D8,6
6292943164,01/06/2023 00:09:22.922,,,microsoft.system.package.metadata,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\microsoft.system.package.metadata,12/20/2022 21:45:25.4525,12/20/2022 21:45:28.4528,12/20/2022 21:45:28.4528,01/06/2023 00:09:22.922,Update Resident Value,0x14605,2
6292943248,01/06/2023 00:09:22.922,,,Sounds,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\Sounds,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x14726,6
6292943379,01/06/2023 00:09:22.922,,,Loc,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\WhatsAppCommon\Loc,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x14731,6
6292943438,01/06/2023 00:09:22.922,,,WhatsAppCommon,\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2248.9.0_x64__cv1g1gvanyjgm\WhatsAppCommon,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,12/20/2022 21:45:12.4512,01/06/2023 00:09:22.922,Update Resident Value,0x14731,2
6292944504,01/06/2023 00:09:22.922,,,Assets,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\Assets,12/07/2019 22:58:31.5831,12/07/2019 22:58:32.5832,12/16/2022 16:11:44.1144,01/06/2023 00:09:22.922,Update Resident Value,0x504,0
6292944563,01/06/2023 00:09:22.922,,,css,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\css,12/07/2019 22:58:31.5831,12/07/2019 22:58:31.5831,12/16/2022 16:11:44.1144,01/06/2023 00:09:22.922,Update Resident Value,0x504,2
6292944622,01/06/2023 00:09:22.922,,,Autogen,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\microsoft.system.package.metadata\Autogen,12/16/2022 17:28:03.283,12/20/2022 22:08:04.84,12/20/2022 22:08:04.84,01/06/2023 00:09:22.922,Update Resident Value,0x6831,6
6292944681,01/06/2023 00:09:22.922,,,microsoft.system.package.metadata,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\microsoft.system.package.metadata,12/16/2022 16:13:19.1319,12/16/2022 17:28:03.283,12/16/2022 17:28:03.283,01/06/2023 00:09:22.922,Update Resident Value,0x6692,2
6292945476,01/06/2023 00:09:22.922,Writing Content of Non-Resident File,Data Runs(in Volume) : 1700700(4),Qt5Gui.dll,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Qt5Gui.dll,,,,,Update Mapping Pairs,0x7EB4,2
6292946243,01/06/2023 00:09:22.922,,,pris,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\pris,12/07/2019 22:58:31.5831,09/08/2022 11:13:06.136,12/16/2022 16:11:44.1144,01/06/2023 00:09:22.922,Update Resident Value,0x504,4
6292947042,01/06/2023 00:09:22.922,,,$$_systemapps_microsoft.windows.secureassessmentbrowser_cw5n1h2txyewy_5c9bcd2fbb5568e6.cdf-ms,\Windows\WinSxS\FileMaps\$$_systemapps_microsoft.windows.secureassessmentbrowser_cw5n1h2txyewy_5c9bcd2fbb5568e6.cdf-ms,12/07/2019 22:58:31.5831,12/20/2022 21:33:35.3335,12/20/2022 22:04:26.426,01/06/2023 00:09:22.922,Update Resident Value,0x15087,2
6292947179,01/06/2023 00:09:22.922,,,SecureAssessmentBrowser.exe,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy\SecureAssessmentBrowser.exe,12/20/2022 21:29:11.2911,12/20/2022 21:29:11.2911,12/20/2022 22:04:52.452,01/06/2023 00:09:22.922,Update Resident Value,0x14C79,4
6292947238,01/06/2023 00:09:22.922,,,Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy,\Windows\SystemApps\Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy,12/07/2019 22:58:31.5831,12/20/2022 22:08:04.84,12/20/2022 22:08:04.84,01/06/2023 00:09:22.922,Update Resident Value,0x503,6
6292949956,01/06/2023 00:09:22.922,Time Reversal Event,CreationTime : 2023-01-06 00:09:22 -> 2022-12-25 07:59:48(Zero in 100-nanoseconds)(same as Qt5Network.dll/ Qt5OpenGL.dll)/ ModifiedTime : 2023-01-06 00:09:22 -> 2022-12-25 07:59:48(Zero in 100-nanoseconds)(same as Qt5Network.dll/ Qt5OpenGL.dll),Qt5Gui.dll,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Qt5Gui.dll,,,,,Update Resident Value,0x7EB4,2
6292950415,01/06/2023 00:09:22.922,File Creation,,Qt5Network.dll,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Qt5Network.dll,01/06/2023 00:09:22.922,01/06/2023 00:09:22.922,01/06/2023 00:09:22.922,01/06/2023 00:09:22.922,Initialize File Record Segment,0x7EB4,6
6292951485,01/06/2023 00:09:22.922,Writing Content of Non-Resident File,Data Runs(in Volume) : 9571166(4),Qt5Network.dll,\Program Files (x86)\Dropbox\Client_164.4.7914\164.4.7914\Qt5Network.dll,,,,,Update Mapping Pairs,0x7EB4,6
