lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10050162974,,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Deallocate File Record Segment,0x803,2,0,0
10050163078,,,,Qt5Widgets.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Widgets.dll,12/1/22 20:21:56,12/1/22 20:21:56,12/20/22 21:41:41,12/26/23 0:04:34,Update Resident Value,0x144D5,6,0,0
10050163151,,,,spark-windows-desktop-ui-rcc.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\spark-windows-desktop-ui-rcc.dll,12/1/22 18:49:10,12/1/22 18:49:10,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x1459A,4,0,0
10050163338,,,,Qt5Multimedia.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Multimedia.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144CE,4,0,0
10050163422,,,,Qt5Core.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Core.dll,12/1/22 20:21:56,12/1/22 20:21:56,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144CB,0,0,0
10050163481,,,,Qt5QuickWidgets.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5QuickWidgets.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:41,12/26/23 0:04:34,Update Resident Value,0x144D5,0,0,0
10050163565,,,,UIToolkit.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\UIToolkit.dll,12/1/22 18:49:04,12/1/22 18:49:04,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x1459E,6,0,0
10050163649,,,,Qt5Gui.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Gui.dll,12/1/22 20:21:56,12/1/22 20:21:56,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144CC,4,0,0
10050163720,,,,Qt5Qml.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Qml.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144D3,2,0,0
10050163779,,,,Qt5Network.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Network.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144D2,2,0,0
10050163863,,,,WebView2Loader.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\WebView2Loader.dll,12/1/22 18:32:02,12/1/22 18:32:02,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A3,2,0,0
10050163947,,,,Qt5Quick.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Quick.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:41,12/26/23 0:04:34,Update Resident Value,0x144D4,0,0,0
10050164006,,,,UiElements.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\UiElements.dll,12/1/22 18:46:04,12/1/22 18:46:04,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x1459E,4,0,0
10050164090,,,,concrt140.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\concrt140.dll,12/1/22 18:31:26,12/1/22 18:31:26,12/20/22 21:41:39,12/26/23 0:04:34,Update Resident Value,0x1456A,2,0,0
10050164174,,,,Qt5Svg.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5Svg.dll,12/1/22 20:21:56,12/1/22 20:21:56,12/20/22 21:41:41,12/26/23 0:04:34,Update Resident Value,0x144D5,4,0,0
10050164386,,,,spark-windows-office-integration.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\spark-windows-office-integration.dll,12/1/22 19:25:08,12/1/22 19:25:08,12/20/22 21:41:38,12/26/23 0:04:34,Update Resident Value,0x14504,6,0,0
10050164529,,,,mediasession.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\mediasession.dll,12/1/22 18:35:04,12/1/22 18:35:04,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x14478,4,0,0
10050164613,,,,wseclient.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wseclient.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:44,12/26/23 0:04:34,Update Resident Value,0x145A4,6,0,0
10050164686,,,,wmeclient.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wmeclient.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A3,6,0,0
10050164791,,,,msvcp140_1.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\msvcp140_1.dll,12/1/22 18:31:26,12/1/22 18:31:26,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x1447B,0,0,0
10050164875,,,,Qt5QmlModels.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\Qt5QmlModels.dll,12/1/22 20:21:40,12/1/22 20:21:40,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x144D3,4,0,0
10050165018,,,,bwc.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\bwc.dll,12/1/22 18:40:06,12/1/22 18:40:06,12/20/22 21:41:39,12/26/23 0:04:34,Update Resident Value,0x14568,0,0,0
10050165136,,,,mediastores.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\mediastores.dll,12/1/22 18:35:04,12/1/22 18:35:04,12/20/22 21:41:40,12/26/23 0:04:34,Update Resident Value,0x14477,6,0,0
10050165220,,,,util.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\util.dll,12/1/22 18:35:04,12/1/22 18:35:04,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x1459F,6,0,0
10050165292,,,,tp.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\tp.dll,12/1/22 18:35:04,12/1/22 18:35:04,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x1459D,6,0,0
10050165410,,,,videoprocess.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\videoprocess.dll,12/1/22 18:35:04,12/1/22 18:35:04,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A1,2,0,0
10050165494,,,,wrtp.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wrtp.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:44,12/26/23 0:04:34,Update Resident Value,0x145A4,4,0,0
10050165553,,,,wbxaudioengine.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wbxaudioengine.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A2,6,0,0
10050165738,,,,d3dcompiler_47.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\d3dcompiler_47.dll,4/19/23 16:22:23,4/19/23 16:22:23,4/19/23 16:22:23,12/26/23 0:04:34,Update Resident Value,0x1D16D,4,0,0
10050165830,,,,libGLESv2.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\libGLESv2.dll,4/19/23 16:22:23,4/19/23 16:22:23,4/19/23 16:22:23,12/26/23 0:04:34,Update Resident Value,0x1D16C,4,0,0
10050165973,,,,wqos.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wqos.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A4,2,0,0
10050166091,,,,ciscosrtp.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\ciscosrtp.dll,12/1/22 18:34:58,12/1/22 18:34:58,12/20/22 21:41:39,12/26/23 0:04:34,Update Resident Value,0x14568,6,0,0
10050166175,,,,wbxaecodec.dll,\Users\blueangel\AppData\Local\Programs\Cisco Spark\dependencies\wbxaecodec.dll,12/1/22 18:35:06,12/1/22 18:35:06,12/20/22 21:41:43,12/26/23 0:04:34,Update Resident Value,0x145A2,4,0,0
10050166259,,,,libEGL.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\libEGL.dll,4/19/23 16:22:25,4/19/23 16:22:25,4/19/23 16:22:25,12/26/23 0:04:34,Update Resident Value,0x1D206,6,0,0
10050166501,,File Deletion,,{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x000000000000007b.db,\Users\blueangel\AppData\Local\Microsoft\Windows\Caches\{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x000000000000007b.db,12/25/23 16:57:15,12/25/23 16:57:15,12/25/23 16:57:15,12/26/23 0:03:50,Deallocate File Record Segment,0xE27,0,0,0
10050166611,,,,vk_swiftshader.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\vk_swiftshader.dll,4/19/23 16:22:23,4/19/23 16:22:24,4/19/23 16:22:24,12/26/23 0:04:34,Update Resident Value,0x1D18F,4,0,0
10050166776,12/26/23 0:04:31,File Creation,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/26/23 0:04:31,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Initialize File Record Segment,0x803,2,0,0
10050167011,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,,,,,Update Resident Value,0x803,2,0,0
10050167729,,Updating Modified Time,ModifiedTime : 2023-12-26 00:04:33 -> 2023-12-26 00:04:34,UDB-User23847576+LocalStorage.sql <Guessed>,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql,,,,,Update Resident Value,0x6E74,6,0,0
10050168117,,File Deletion,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/26/23 0:04:31,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Deallocate File Record Segment,0x803,2,0,0
10050168302,12/26/23 0:04:30,File Creation,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Initialize File Record Segment,0x803,2,0,0
10050168586,12/26/23 0:04:30,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,,,,,Update Resident Value,0x803,2,0,0
10050169606,12/26/23 0:04:30,File Deletion,,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Deallocate File Record Segment,0x803,2,0,0
10050169791,12/26/23 0:04:31,File Creation,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/26/23 0:04:31,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Initialize File Record Segment,0x803,2,0,0
10050170026,,Writing Content of Resident File,Writing Size : 512,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,,,,,Update Resident Value,0x803,2,0,0
10050170957,,File Deletion,,UDB-User23847576+LocalStorage.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+LocalStorage.sql-journal,12/26/23 0:04:31,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Deallocate File Record Segment,0x803,2,0,0
10050171061,,,,sharing-indicator.node,\Users\blueangel\AppData\Local\Microsoft\Teams\current\resources\app.asar.unpacked\node_modules\slimcore\bin\sharing-indicator.node,4/19/23 16:22:28,4/19/23 16:22:28,4/19/23 16:22:28,12/26/23 0:04:34,Update Resident Value,0x1D382,0,0,0
10050171162,,,,RtmControl.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\resources\app.asar.unpacked\node_modules\slimcore\bin\RtmControl.dll,4/19/23 16:22:27,4/19/23 16:22:27,4/19/23 16:22:27,12/26/23 0:04:34,Update Resident Value,0x1D2F2,2,0,0
10050171246,,,,skypert.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\resources\app.asar.unpacked\node_modules\slimcore\bin\skypert.dll,4/19/23 16:22:28,4/19/23 16:22:29,4/19/23 16:22:29,12/26/23 0:04:34,Update Resident Value,0x1D382,6,0,0
10050171368,,,,RtmPal.dll,\Users\blueangel\AppData\Local\Microsoft\Teams\current\resources\app.asar.unpacked\node_modules\slimcore\bin\RtmPal.dll,4/19/23 16:22:27,4/19/23 16:22:27,4/19/23 16:22:27,12/26/23 0:04:34,Update Resident Value,0x1D2F4,4,0,0
10050178730,,# Check Point,,,,,,,,Compensation Log Record,0x570978BA,2,0,0
10050178750,,,,persistent.conf,\Users\blueangel\AppData\Roaming\Microsoft\Teams\SkypeRT\persistent.conf,2/7/23 22:07:06,2/7/23 22:07:22,2/7/23 22:07:22,12/26/23 0:04:34,Update Resident Value,0x459B,4,0,0
10050178935,12/26/23 0:04:34,File Deletion,,rtmcontrol.msrtc-4-385387695.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-4-385387695.blog,12/21/23 14:52:20,12/21/23 14:56:39,12/25/23 16:57:36,12/21/23 14:56:39,Deallocate File Record Segment,0x1DE6,2,0,0
10050179037,12/26/23 0:04:34,Updating Modified Time,ModifiedTime : 2023-12-25 16:57:36 -> 2023-12-26 00:04:34,media-stack <Guessed>,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack,,,,,Update Resident Value,0x7B14,0,0,0
10050179245,12/26/23 0:04:34,Renaming File,rtmcontrol.msrtc-3-1014331072.blog -> rtmcontrol.msrtc-4-1014331072.blog,rtmcontrol.msrtc-4-1014331072.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-4-1014331072.blog,,,,,Create Attribute,0x4B13,4,0,0
10050179594,12/26/23 0:04:34,Updating MFTModified Time,MFTModifiedTime : 2023-12-25 16:57:36 -> 2023-12-26 00:04:34,rtmcontrol.msrtc-4-1014331072.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-4-1014331072.blog,,,,,Update Resident Value,0x4B13,4,0,0
10050179734,12/26/23 0:04:34,,,rtmcontrol.msrtc-4-1014331072.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-4-1014331072.blog,12/22/23 16:52:23,12/22/23 16:53:42,12/26/23 0:04:34,12/22/23 16:53:42,Update Resident Value,0x4B13,4,0,0
10050179870,12/26/23 0:04:34,Renaming File,rtmcontrol.msrtc-2-914349474.blog -> rtmcontrol.msrtc-3-914349474.blog,rtmcontrol.msrtc-3-914349474.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-3-914349474.blog,,,,,Create Attribute,0xB421,6,0,0
10050180222,12/26/23 0:04:34,Updating MFTModified Time,MFTModifiedTime : 2023-12-25 16:57:36 -> 2023-12-26 00:04:34,rtmcontrol.msrtc-3-914349474.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-3-914349474.blog,,,,,Update Resident Value,0xB421,6,0,0
10050180362,12/26/23 0:04:34,,,rtmcontrol.msrtc-3-914349474.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-3-914349474.blog,12/25/23 15:49:00,12/25/23 15:49:55,12/26/23 0:04:34,12/25/23 15:49:55,Update Resident Value,0xB421,6,0,0
10050180498,12/26/23 0:04:34,Renaming File,rtmcontrol.msrtc-1-1958444718.blog -> rtmcontrol.msrtc-2-1958444718.blog,rtmcontrol.msrtc-2-1958444718.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-2-1958444718.blog,,,,,Create Attribute,0x7CD,2,0,0
10050180847,12/26/23 0:04:34,Updating MFTModified Time,MFTModifiedTime : 2023-12-25 16:57:36 -> 2023-12-26 00:04:34,rtmcontrol.msrtc-2-1958444718.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-2-1958444718.blog,,,,,Update Resident Value,0x7CD,2,0,0
10050180987,12/26/23 0:04:34,,,rtmcontrol.msrtc-2-1958444718.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-2-1958444718.blog,12/25/23 16:38:41,12/25/23 16:53:54,12/26/23 0:04:34,12/25/23 16:53:54,Update Resident Value,0x7CD,2,0,0
10050181131,12/26/23 0:04:34,Renaming File,rtmcontrol.msrtc-0-3528548753.blog -> rtmcontrol.msrtc-1-3528548753.blog,rtmcontrol.msrtc-1-3528548753.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-1-3528548753.blog,,,,,Create Attribute,0xC8,0,0,0
10050181384,12/26/23 0:04:34,,,media-stack,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack,12/20/22 22:10:05,12/26/23 0:04:34,12/26/23 0:04:34,12/26/23 0:04:34,Update Resident Value,0x7B14,0,0,0
10050181472,12/26/23 0:04:34,Updating MFTModified Time,MFTModifiedTime : 2023-12-25 17:14:38 -> 2023-12-26 00:04:34,rtmcontrol.msrtc-1-3528548753.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-1-3528548753.blog,,,,,Update Resident Value,0xC8,0,0,0
10050181612,12/26/23 0:04:34,,,rtmcontrol.msrtc-1-3528548753.blog,\Users\blueangel\AppData\Roaming\Microsoft\Teams\media-stack\rtmcontrol.msrtc-1-3528548753.blog,12/25/23 16:57:36,12/25/23 17:14:38,12/26/23 0:04:34,12/25/23 17:14:38,Update Resident Value,0xC8,0,0,0
