lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10589174169,,,,FileCoAuth-2023-12-28.0822.6808.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0822.6808.1.odl,12/28/23 16:22:25,12/28/23 16:22:32,12/28/23 16:22:32,12/28/23 16:23:00,Update Resident Value,0x3191,4,0,0
10589174203,,,,FileCoAuth-2023-12-28.0232.6016.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0232.6016.1.odl,12/28/23 10:32:25,12/28/23 10:32:32,12/28/23 10:32:32,12/28/23 11:22:55,Update Resident Value,0x3192,0,0,0
10589174259,,,,FileCoAuth-2023-12-28.0312.5232.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0312.5232.1.odl,12/28/23 11:12:25,12/28/23 11:12:32,12/28/23 11:12:32,12/28/23 11:22:55,Update Resident Value,0x319C,2,0,0
10589174301,,,,FileCoAuth-2023-12-28.0302.8164.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0302.8164.1.odl,12/28/23 11:02:25,12/28/23 11:02:32,12/28/23 11:02:32,12/28/23 11:22:55,Update Resident Value,0x319C,6,0,0
10589174335,,,,FileCoAuth-2023-12-28.0332.984.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0332.984.1.odl,12/28/23 11:32:25,12/28/23 11:32:32,12/28/23 11:32:32,12/28/23 12:22:56,Update Resident Value,0x319D,2,0,0
10589174369,,,,tw-2514-c80-9c0b2.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0b2.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x319D,6,0,0
10589174401,,,,tw-2514-c80-9c0b4.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0b4.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x319E,0,0,0
10589174433,,,,tw-2514-c80-9c0c5.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0c5.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x319E,2,0,0
10589174465,,,,tw-2514-c80-9c0c7.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0c7.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x319E,6,0,0
10589174497,,Changing FileAttribute,NotContentIndexed/ RandomAccess -> NotContentIndexed,tw-2514-c80-9c0c9.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0c9.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x319F,4,0,0
10589174535,,,,tw-2514-c80-9c0db.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0db.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A0,2,0,0
10589174567,,,,tw-2514-c80-9c0dd.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0dd.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A1,4,0,0
10589174599,,,,tw-2514-c80-9c0ef.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0ef.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A1,6,0,0
10589174631,,,,tw-2514-c80-9c0f1.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0f1.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A2,2,0,0
10589174663,,,,tw-2514-c80-9c0f3.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c0f3.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A2,4,0,0
10589174695,,,,tw-2514-c80-9c104.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c104.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A3,0,0,0
10589174727,,,,tw-2514-c80-9c106.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c106.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A3,2,0,0
10589174759,,,,tw-2514-c80-9c118.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c118.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A3,4,0,0
10589174803,,,,tw-2514-c80-9c11a.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c11a.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A3,6,0,0
10589174835,,Changing FileAttribute,NotContentIndexed/ RandomAccess -> NotContentIndexed,tw-2514-c80-9c11c.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c11c.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A4,0,0,0
