LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
4398396547,12/29/22 23:40,,,Ext Directory Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Directory Entry.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x88E0,2
4398396575,12/29/22 23:40,,,Ext Inode.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Inode.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8A28,2
4398396603,12/29/22 23:40,,,Ext Superblock.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Superblock.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8AAB,4
4398396631,12/29/22 23:40,,,FAT Directory Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT Directory Entry.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8B42,4
4398396659,12/29/22 23:40,,,DESKTOP-JK343U8-20221230-0040.log,\Windows\Temp\DESKTOP-JK343U8-20221230-0040.log,12/29/22 23:40,12/29/22 23:40,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8B76,4
4398396687,12/29/22 23:40,,,FAT LFN Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT LFN Entry.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8B78,2
4398396715,12/29/22 23:40,,,File Type Signatures Search.txt,\Users\blueangel\AppData\Local\Temp\RarSFX1\File Type Signatures Search.txt,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x8EBA,0
4398396743,12/29/22 23:40,,,HFS+ Volume Header.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\HFS+ Volume Header.tpl,12/29/22 23:40,10/11/10 14:08,12/29/22 23:40,12/29/22 23:40,Set New Attribute Sizes,0x868D,6
4398396950,12/29/22 23:40,,,AcSpecfc.dll,\Windows\SysWOW64\AcSpecfc.dll,9/8/22 11:08,9/8/22 11:08,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3C15,6
4398397009,12/29/22 23:40,,,comctl32.dll,\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.19041.1110_none_c0da534e38c01f4d\comctl32.dll,9/8/22 11:07,9/8/22 11:07,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3C55,4
4398397068,12/29/22 23:40,,,mscms.dll,\Windows\SysWOW64\mscms.dll,9/8/22 11:07,9/8/22 11:07,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3D53,4
4398397127,12/29/22 23:40,,,ddraw.dll,\Windows\WinSxS\wow64_microsoft-windows-directx-directdraw_31bf3856ad364e35_10.0.19041.1_none_c54b5ac293bf8733\ddraw.dll,12/7/19 17:09,12/7/19 17:09,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3C6F,0
4398397245,12/29/22 23:40,,,coloradapterclient.dll,\Windows\SysWOW64\coloradapterclient.dll,9/8/22 11:07,9/8/22 11:07,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3C4C,2
4398397363,12/29/22 23:40,,,dciman32.dll,\Windows\WinSxS\wow64_microsoft-windows-gdi_31bf3856ad364e35_10.0.19041.2075_none_29044f2044073a6b\dciman32.dll,12/20/22 21:30,12/20/22 21:30,12/20/22 22:04,12/29/22 23:40,Update Resident Value,0x14E14,0
4398397422,12/29/22 23:40,,,HelpPaneProxy.dll,\Windows\SysWOW64\HelpPaneProxy.dll,9/8/22 11:08,9/8/22 11:08,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x3CC3,0
4398397691,12/29/22 23:40,,,apds.dll,\Windows\System32\apds.dll,9/8/22 11:07,9/8/22 11:07,12/20/22 21:31,12/29/22 23:40,Update Resident Value,0x2D24,6
