LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
6278731857,,,,Microsoft-Windows-Product-Data-21h2-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-21h2-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 15:00,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE0,6
6278731891,,,,Microsoft-Windows-Product-Data-21h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1023.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-21h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1023.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE1,2
6278731925,,,,Microsoft-Windows-Product-Data-21h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-21h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 15:00,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE2,2
6278731959,,,,Microsoft-Windows-Product-Data-22h2-EKB-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1806.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-22h2-EKB-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1806.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE3,2
6278731993,,,,Microsoft-Windows-Product-Data-22h2-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-22h2-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 14:59,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE4,2
6278732027,,,,Microsoft-Windows-Product-Data-22h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1806.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-22h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1806.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE5,2
6278732061,,,,Microsoft-Windows-Product-Data-22h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-22h2-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 14:59,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE6,4
6278732095,,,,Microsoft-Windows-Product-Data-EKB-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.264.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-EKB-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.264.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE7,2
6278732129,,,,Microsoft-Windows-Product-Data-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-EKB-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 15:00,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE7,6
6278732163,,,,Microsoft-Windows-Product-Data-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.264.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-EKB-Wrapper-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.264.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE8,6
6278732197,,,,Microsoft-Windows-Product-Data-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-Product-Data-EKB-Wrapper-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 15:00,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BE9,2
6278732231,,,,Microsoft-Windows-Professional-SPP-Components-Package~31bf3856ad364e35~amd64~~10.0.19041.1865.mum,\Windows\servicing\Packages\Microsoft-Windows-Professional-SPP-Components-Package~31bf3856ad364e35~amd64~~10.0.19041.1865.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEA,0
6278732296,,,,Microsoft-Windows-ProjFS-OptionalFeature-Package~31bf3856ad364e35~amd64~~10.0.19041.1110.mum,\Windows\servicing\Packages\Microsoft-Windows-ProjFS-OptionalFeature-Package~31bf3856ad364e35~amd64~~10.0.19041.1110.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEB,4
6278732330,,,,Microsoft-Windows-ProjFS-Package~31bf3856ad364e35~amd64~~10.0.19041.1110.mum,\Windows\servicing\Packages\Microsoft-Windows-ProjFS-Package~31bf3856ad364e35~amd64~~10.0.19041.1110.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEC,4
6278732364,,,,Microsoft-Windows-ProfessionalEdition~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-ProfessionalEdition~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 23:00,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEC,6
6278732420,,,,Microsoft-Windows-QuickAssist-Package~31bf3856ad364e35~amd64~~10.0.19041.1949.mum,\Windows\servicing\Packages\Microsoft-Windows-QuickAssist-Package~31bf3856ad364e35~amd64~~10.0.19041.1949.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEF,0
6278732454,,,,Microsoft-Windows-QuickAssist-Package~31bf3856ad364e35~wow64~~10.0.19041.1949.mum,\Windows\servicing\Packages\Microsoft-Windows-QuickAssist-Package~31bf3856ad364e35~wow64~~10.0.19041.1949.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BEF,6
6278732488,,,,Microsoft-Windows-RDC-Opt-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1.mum,\Windows\servicing\Packages\Microsoft-Windows-RDC-Opt-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1.mum,12/7/19 22:54,12/7/19 12:38,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF0,0
6278732624,,,,Microsoft-Windows-RecDisc-SDP-Removable-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-RecDisc-SDP-Removable-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 14:59,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF3,2
6278732658,,,,Microsoft-Windows-RecoveryDrive-Package~31bf3856ad364e35~amd64~~10.0.19041.1741.mum,\Windows\servicing\Packages\Microsoft-Windows-RecoveryDrive-Package~31bf3856ad364e35~amd64~~10.0.19041.1741.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF3,6
6278732692,,,,Microsoft-Windows-RegulatedPackages-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1151.mum,\Windows\servicing\Packages\Microsoft-Windows-RegulatedPackages-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1151.mum,9/8/22 11:02,9/7/22 21:40,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF5,0
6278732726,,,,Microsoft-Windows-RegulatedPackages-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,\Windows\servicing\Packages\Microsoft-Windows-RegulatedPackages-Package~31bf3856ad364e35~amd64~~10.0.19041.2006.mum,9/8/22 11:02,9/7/22 14:14,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF6,0
6278732760,,,,Microsoft-Windows-RegulatedPackages-WOW64-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1.mum,\Windows\servicing\Packages\Microsoft-Windows-RegulatedPackages-WOW64-Package~31bf3856ad364e35~amd64~ko-KR~10.0.19041.1.mum,12/7/19 22:54,12/7/19 12:39,12/16/22 16:10,1/4/23 17:01,Update Resident Value,0x2BF7,2
