Metric,Random_Forest,Isolation_Forest
Precision,0.4267515923566879,0.00411522633744856
Recall,0.6568627450980392,0.00980392156862745
F1-Score,0.5173745173745173,0.005797101449275362
AUC-ROC,0.999313745069036,0.9468487425772139
AUC-PR,0.3482077866279799,0.005211872581159837
False Positive Rate,0.0003046334751571,0.0008191255665336434
False Negative Rate,0.3431372549019608,0.9901960784313726
True Positives,67.0,1.0
False Positives,90.0,242.0
False Negatives,35.0,101.0
