threshold,precision,recall,f1_score,tp,fp,tn,fn,total_flagged
0.05,0.6805555555555556,0.98,0.8032786885245902,49,23,30837,1,72
0.1,0.7,0.98,0.8166666666666667,49,21,30839,1,70
0.15000000000000002,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.2,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.25,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.30000000000000004,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.35000000000000003,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.4,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.45,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.5,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.55,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.6000000000000001,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.65,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.7000000000000001,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.75,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.8,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.8500000000000001,0.8305084745762712,0.98,0.8990825688073395,49,10,30850,1,59
0.9,0.8421052631578947,0.96,0.897196261682243,48,9,30851,2,57
0.9500000000000001,0.8421052631578947,0.96,0.897196261682243,48,9,30851,2,57
