LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,is_suspicious_execution,is_suspicious,label_source
10586859316,12/31/23 0:36:35,Updating Modified Time,ModifiedTime : 2023-12-28 08:51:17 -> 2023-12-31 00:36:36,Microsoft-Windows-BitLocker%4BitLocker Management.evtx <Guessed>,\Windows\System32\winevt\Logs\Microsoft-Windows-BitLocker%4BitLocker Management.evtx,,,,,Update Resident Value,0x667C,0,0,0,0,
10586859681,12/31/23 0:36:35,,,storage.sqlite,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\storage.sqlite,12/18/22 22:48:42,12/27/23 10:39:33,12/27/23 10:39:33,12/31/23 0:36:35,Update Resident Value,0x69A9,0,0,0,0,
10586859813,12/31/23 0:36:36,File Creation(File System Tunneling),,prefs-1.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs-1.js,12/31/23 0:36:34,12/31/23 0:36:36,12/31/23 0:36:36,12/31/23 0:36:36,Initialize File Record Segment,0x3310,4,0,0,0,
10586860131,12/31/23 0:36:36,Updating Modified Time,ModifiedTime : 2023-12-31 00:36:34 -> 2023-12-31 00:36:36,76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate <Guessed>,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate,,,,,Update Resident Value,0x6758,2,0,0,0,
10586860349,12/31/23 0:36:36,Writing Content of Non-Resident File,Data Runs(in Volume) : 2201855(1),prefs-1.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs-1.js,,,,,Update Mapping Pairs,0x3310,4,0,0,0,
10586860672,12/31/23 0:36:36,,,comres.dll,\Windows\System32\comres.dll,12/7/19 17:08:46,12/7/19 17:08:46,12/25/23 16:25:39,12/31/23 0:36:36,Update Resident Value,0x2DFA,6,0,0,0,
10586860731,12/31/23 0:36:36,,,comres.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\comres.dll.mui,12/19/23 15:12:17,12/19/23 15:12:24,12/19/23 15:12:24,12/31/23 0:36:36,Update Resident Value,0x1561D,6,0,0,0,
10586860910,12/31/23 0:36:36,,,mycomput.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\mycomput.dll.mui,12/19/23 15:12:18,12/19/23 15:12:29,12/19/23 15:12:29,12/31/23 0:36:36,Update Resident Value,0x1FB05,4,0,0,0,
10586860994,12/31/23 0:36:36,,,dfrgui.exe,\Windows\System32\dfrgui.exe,12/25/23 16:22:43,12/25/23 16:22:43,12/25/23 16:33:28,12/31/23 0:36:36,Update Resident Value,0x2A049,6,0,0,0,
10586861064,12/31/23 0:36:36,,,DfrgUI.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\DfrgUI.exe.mui,12/19/23 15:12:17,12/19/23 15:12:24,12/19/23 15:12:24,12/31/23 0:36:36,Update Resident Value,0x1F94F,2,0,0,0,
