Approach,F1 Change,Recall Change,Precision Change,FP Change,FN Change,Workload Change
GridSearch vs Baseline,-0.13970000000000005,0.0,-0.17119999999999996,46,0,0.6389
Threshold Opt vs Baseline,0.0,0.0,0.0,0,0,0.0
