Metric,Baseline (Phase 4),Tuned (Phase 5),Improvement,% Change
F1-Score,0.7311827956989247,0.7628865979381443,0.031703802239219536,4.34
Recall,0.8292682926829268,0.9024390243902439,0.07317073170731714,8.82
Precision,0.6538461538461539,0.6607142857142857,0.006868131868131844,1.05
MCC,0.7362056979757312,0.7720469933005474,0.03584129532481617,4.87
