model,precision,recall,f1_score,roc_auc,pr_auc,true_positives,false_negatives,false_positives
Random Forest,0.5697674418604651,0.98,0.7205882352941176,0.9998327932598834,0.8549617830658587,49,1,37
Logistic Regression,0.13649025069637882,0.98,0.2396088019559902,0.9977997407647441,0.3265240175232461,49,1,310
XGBoost,0.8305084745762712,0.98,0.8990825688073395,0.9998217757615036,0.810951275485568,49,1,10
LightGBM,0.0515695067264574,0.92,0.09766454352441614,0.9435372650680492,0.047573354146930265,46,4,846
Neural Network (Focal Loss),0.0,0.0,0.0,0.9868314970836034,0.07314875754567793,0,50,0
