Model,F1-Score,Recall,Precision,FNR,FPR,TP,FP,TN,FN
Random Forest,0.6266094420600858,0.9864864864864865,0.4591194968553459,0.013513513513513514,0.00809487951807229,73,86,10538,1
XGBoost,0.6266094420600858,0.9864864864864865,0.4591194968553459,0.013513513513513514,0.00809487951807229,73,86,10538,1
LightGBM,0.6324786324786325,1.0,0.4625,0.0,0.00809487951807229,74,86,10538,0
Logistic Regression,0.6160337552742616,0.9864864864864865,0.44785276073619634,0.013513513513513514,0.008471385542168674,73,90,10534,1
