Model,Precision,Recall,F1-Score,Precision (%),Recall (%)
XGBoost,0.7878787878787878,0.9811320754716981,0.8739495798319328,78.78787878787878,98.11320754716981
Random Forest,0.48148148148148145,0.9811320754716981,0.6459627329192547,48.148148148148145,98.11320754716981
Logistic Regression,0.08237232289950576,0.9433962264150944,0.15151515151515152,8.237232289950576,94.33962264150944
LightGBM,0.006349206349206349,0.07547169811320754,0.01171303074670571,0.6349206349206349,7.547169811320755
