Model,F1-Score,Recall,Precision,FNR,FPR,Attacks Detected,False Alarms,AUC-ROC,Accuracy
Random Forest,0.6,0.9230769230769231,0.4444444444444444,0.07692307692307693,0.0020030267960473606,72/78,90,0.9991929399868063,0.9978671406354144
XGBoost,0.17204301075268819,0.10256410256410256,0.5333333333333333,0.8974358974358975,0.0001557909730259058,8/78,7,0.9997180925250008,0.998289269051322
Logistic Regression,0.05384063173007897,0.9615384615384616,0.027695716395864108,0.038461538461538464,0.05859966171103,75/78,2633,0.9649704282482704,0.9414352366140858
LightGBM,0.012012012012012012,0.07692307692307693,0.006514657980456026,0.9230769230769231,0.020364105759814833,6/78,915,0.5282794855816311,0.9780715396578538
