Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,MCC,Kappa,Balanced Acc,Specificity
Random Forest,0.9996942157858043,0.6538461538461539,0.8292682926829268,0.7311827956989247,0.9964596299617116,0.6987186380705939,0.7362056979757312,0.7310319579710169,0.9145240087919015,0.9997797249008762
XGBoost,0.9996819844172364,0.6415094339622641,0.8292682926829268,0.723404255319149,0.9991903845442096,0.6925311986000108,0.7292209858970015,0.7232477503680601,0.9145178900391481,0.9997674873953694
Logistic Regression,0.9464266056729087,0.008384319057330614,0.9024390243902439,0.01661427929950606,0.974376155847319,0.09299376587474559,0.08410376563527722,0.01563607783625065,0.9244438501460741,0.9464486759019042
LightGBM,0.7888376530449992,0.0018511019841499392,0.7804878048780488,0.003693444136657433,0.7846648236784389,0.0015548448413250481,0.03121552381520716,0.002695542216413327,0.784664823678439,0.7888418424788292
