lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missingfullpathflaglsn
10571590680,12/28/23 21:39:21,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:39:21,12/28/23 21:39:29,12/28/23 21:39:29,12/28/23 21:39:29,Initialize File Record Segment,0x3235,0,0
10571591927,12/28/23 21:39:21,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/28/23 21:39:21,12/28/23 21:39:29,12/28/23 21:39:29,12/28/23 21:39:29,Deallocate File Record Segment,0x3235,0,0
10571592683,12/28/23 21:39:30,Directory Creation,bcltmpVifeH,\Windows\Temp\bcltmpVifeH,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3235,0,0
10571593251,12/28/23 21:39:30,Directory Creation,firefox,firefox,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3239,2,1
10571593822,12/28/23 21:39:30,Directory Creation,chrome,chrome,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3265,4,1
10571594323,12/28/23 21:39:30,Directory Creation,EdgeChromium,EdgeChromium,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3265,6,1
10571595588,12/28/23 21:39:30,File Creation,SkeletonUILock-c388d246,\Users\blueangel\AppData\Local\Mozilla\Firefox\SkeletonUILock-c388d246,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3266,2,0
10571599064,12/28/23 21:39:30,Directory Deletion,chrome,chrome,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x3265,4,1
10571599208,12/28/23 21:39:30,Directory Deletion,EdgeChromium,EdgeChromium,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x3265,6,1
10571599328,12/28/23 21:39:30,Directory Deletion,firefox,firefox,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x3239,2,1
10571599568,12/28/23 21:39:30,Directory Deletion,bcltmpVifeH,\Windows\Temp\bcltmpVifeH,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x3235,0,0
10571600854,12/28/23 21:39:30,File Creation,.startup-incomplete,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\.startup-incomplete,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3235,0,0
10571603308,12/28/23 21:39:30,File Deletion,.startup-incomplete,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\.startup-incomplete,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x3235,0,0
10571603464,12/28/23 21:39:30,File Creation,prefs-1.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs-1.js,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x3235,0,0
10571604286,12/28/23 21:39:30,File Deletion,prefs.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs.js,12/28/23 14:39:32,12/28/23 14:39:33,12/28/23 14:39:40,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571605700,12/28/23 21:39:30,File Creation,update.test,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\update.test,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571605967,12/28/23 21:39:30,File Deletion,update.test,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\update.test,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571606293,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571607000,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 14:39:32,12/28/23 14:39:33,12/28/23 14:39:34,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571607732,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571608485,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571609945,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571610790,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571611586,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571612347,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571613144,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571613992,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571614700,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571615293,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571616050,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571616635,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571617351,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571617936,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571618644,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571619229,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571619947,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571620550,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571621258,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571621935,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571622643,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
10571623228,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,4,0
10571623944,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,4,0
10571624578,12/28/23 21:39:30,File Deletion,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Deallocate File Record Segment,0x31D6,6,0
10571625288,12/28/23 21:39:30,File Creation,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,12/28/23 21:39:30,Initialize File Record Segment,0x31D6,6,0
