model,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
Baseline XGBoost,0.8305084745762712,0.98,0.8990825688073395,0.9998217757615036,0.810951275485568,30850,10,1,49
Optimized XGBoost,0.8421052631578947,0.96,0.897196261682243,0.9998036292935839,0.8135122384199749,30851,9,2,48
Baseline Random Forest,0.5697674418604651,0.98,0.7205882352941176,0.9998327932598834,0.8549617830658587,30823,37,1,49
Optimized Random Forest,0.7538461538461538,0.98,0.8521739130434782,0.9998567725210629,0.8663139229559351,30844,16,1,49
