Model,F1-Score,Recall,Precision,FNR,FPR,TP,FP,TN,FN
Random Forest,0.6210045662100456,0.918918918918919,0.4689655172413793,0.08108108108108109,0.007247740963855422,68,77,10547,6
XGBoost,0.6306306306306306,0.9459459459459459,0.47297297297297297,0.05405405405405406,0.007341867469879518,70,78,10546,4
LightGBM,0.6367713004484304,0.9594594594594594,0.47651006711409394,0.04054054054054054,0.007341867469879518,71,78,10546,3
Logistic Regression,0.6271186440677966,1.0,0.4567901234567901,0.0,0.008283132530120483,74,88,10536,0
