Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,MCC,Kappa,Balanced Acc,Specificity
XGBoost,0.9997704153715739,0.8115942028985508,1.0,0.896,0.9999319718871851,0.90570940345994,0.9007817098978139,0.895886325165425,0.9998850940461038,0.9997701880922076
Random Forest,0.9988344165018367,0.4583333333333333,0.9821428571428571,0.625,0.9998792540456997,0.8831970461504802,0.6705257606849787,0.6244935886718197,0.9904968988019476,0.9988509404610381
Logistic Regression,0.9574915230291042,0.022736500203004467,1.0,0.0444620881302104,0.9938553725478312,0.08687713720891078,0.14754338147917506,0.04261050856982285,0.9787247206901428,0.9574494413802856
LightGBM,0.8438647923142131,0.005516154452324665,0.875,0.01096319498825372,0.8594169848677697,0.004950257638013525,0.062127292996519784,0.009015346686117809,0.8594169848677697,0.8438339697355395
