Model,F1-Score,Recall,Precision,FNR,FPR,Attacks Detected,False Alarms,AUC-ROC,Accuracy
Random Forest,0.7346938775510204,0.9230769230769231,0.6101694915254238,0.07692307692307693,0.0010237692513130954,72/78,46,0.9995471789849962,0.9988447011775161
LightGBM,0.24057450628366248,0.8589743589743589,0.13987473903966596,0.14102564102564102,0.009169411555239027,67/78,412,0.9248961964176066,0.9906020884247945
XGBoost,0.09302325581395349,0.05128205128205128,0.5,0.9487179487179487,8.902341315766046e-05,4/78,4,0.9992900953463582,0.9982670517662742
Logistic Regression,0.05934242181234964,0.9487179487179487,0.030629139072847682,0.05128205128205128,0.052123208403810205,74/78,2342,0.9762786843709127,0.9478782492779383
