feature,importance,importance_pct,cumulative_pct
in_temp_dir,0.3001724884563982,30.01724884563982,30.01724884563982
event_frequency_per_file,0.20529020641788925,20.529020641788925,50.546269487428745
events_in_5min_window,0.11303080226267345,11.303080226267346,61.84934971369609
events_in_1min_window,0.0620218449883718,6.20218449883718,68.05153421253327
filename_length,0.05648872353158908,5.648872353158908,73.70040656569218
path_depth,0.05439520783269392,5.439520783269392,79.13992734896156
is_archive,0.05382941764568902,5.382941764568902,84.52286911353046
in_program_files,0.03160843676713295,3.160843676713295,87.68371279024376
event_frequency_per_case,0.025439168970911398,2.54391689709114,90.2276296873349
in_windows_dir,0.025002408743597666,2.5002408743597666,92.72787056169466
usn_complete_manipulation_pattern,0.013059745750407505,1.3059745750407505,94.03384513673541
usn_file_closed,0.012151775216334,1.2151775216334,95.2490226583688
time_until_next_event_seconds,0.011112302734465637,1.1112302734465638,96.36025293181537
is_executable,0.009500650063102625,0.9500650063102625,97.31031793812564
has_logfile_evidence,0.007743545012353654,0.7743545012353654,98.084672439361
time_since_previous_event_seconds,0.005298535284929534,0.5298535284929534,98.61452596785395
in_users_dir,0.005229179982214611,0.5229179982214611,99.13744396607541
usn_basic_info_change,0.002851876497955264,0.2851876497955264,99.42263161587094
event_vs_modified_after_days,0.001771739463398449,0.1771739463398449,99.59980556221079
source_confidence_score,0.0016718485238172522,0.16718485238172523,99.76699041459251
has_usnjrnl_evidence,0.0013918233980396108,0.13918233980396108,99.90617275439648
in_system32,0.0006120266866175354,0.06120266866175354,99.96737542305823
has_suspicious_extension,0.00028497345625044107,0.028497345625044107,99.99587276868327
is_hidden_file,2.265169673220955e-05,0.002265169673220955,99.99813793835649
is_system_file,1.8620616434944554e-05,0.0018620616434944553,99.99999999999999
