Model,Precision,Recall,F1-Score,ROC-AUC
LightGBM,0.024054982817869417,1.0,0.04697986577181208,0.9988853108744117
XGBoost,0.02258064516129032,1.0,0.04416403785488959,0.9988797234602483
Random Forest,0.020905923344947737,0.8571428571428571,0.04081632653061224,0.9980974854773794
Logistic Regression,0.004893964110929853,0.8571428571428571,0.009732360097323601,0.9942105076910757
