source,lsn/usn,category,detail
logfile,10056237725,Timestamp Manipulation,"[Malicious] After execution of nTimestomp, $SI timestamp of nTimestomp_SI_M_Manipulation.dll"" is changed to the past. => ModifiedTime : 2023-12-26 22:46:00 -> 2022-12-22 23:19:23"""
logfile,10056238058,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
usnjrnl,1717498128,Execution of Suspicious Programs,nTimestomp (Timestamp Manipulation) has been executed.
usnjrnl,1717114832,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.80.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717099472,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.69.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:42:57) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717130640,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.231817.373.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717102880,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.64.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717105200,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.67.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717108880,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.72.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717109600,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.73.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717110320,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.74.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717111040,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.75.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717111760,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.76.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717112480,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.77.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717113264,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.78.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717114112,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.79.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717115552,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.81.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717116272,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.82.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717117072,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.83.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717117792,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.84.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717118512,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.85.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717119232,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.86.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717120080,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.87.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717120800,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.88.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717121600,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.89.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717122320,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717123040,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717123760,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717124480,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.181843.333.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:39:35) != (Creation Event Time : 2023-12-26 22:26:44))"""
