source,lsn/usn,category,detail
logfile,10589145610,Timestamp Manipulation,"[Malicious] After execution of SetMace, $SI timestamp of SetMACE_SI_FN_MACE_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 23:57:58 -> 2022-12-22 23:19:23, ModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23, MFTModifiedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23, AccessedTime : 2023-12-31 23:57:59 -> 2022-12-22 23:19:23"""
logfile,10589147061,Timestamp Manipulation,"[Malicious] $SI, $FN timestamp manipulation of SetMACE_SI_FN_MACE_Manipulation.dll"" is detected. (Time Reversal Event(10589145610) -> Move(Before) -> Move(After) -> Time Reversal Event(10589147061))"""
logfile,10589148049,Timestamp Manipulation,"[Malicious] $SI, $FN timestamp manipulation of SetMACE_SI_FN_MACE_Manipulation.dll"" is detected. (Time Reversal Event(10589147061) -> Move(Before) -> Move(After) -> Time Reversal Event(10589148049))"""
logfile,10589148732,Execution of Suspicious Programs,SetMace (Timestamp Manipulation) has been executed.
usnjrnl,1754769176,Execution of Suspicious Programs,SetMace (Timestamp Manipulation) has been executed.
usnjrnl,1688454976,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package~31bf3856ad364e35~amd64~~10.0.19041.2364.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:05) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18))"""
usnjrnl,1688456472,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package00~31bf3856ad364e35~amd64~~10.0.19041.2311.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:05) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18)), (CreationTime(2022-12-20 21:25:06) is same as Microsoft-Windows-Client-Desktop-Required-Package00~31bf3856ad364e35~amd64~~10.0.19041.2311.mum)"""
usnjrnl,1688458240,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package01~31bf3856ad364e35~amd64~~10.0.19041.2311.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:05) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18))"""
usnjrnl,1688459776,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package0110~31bf3856ad364e35~amd64~~10.0.19041.2311.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:06) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18))"""
usnjrnl,1688482568,Timestamp Manipulation,"[Suspicious] The timestamp of Microsoft-Windows-Client-Desktop-Required-Package051020~31bf3856ad364e35~amd64~~10.0.19041.2364.cat"" may have been manipulated. => ((MFTmodifiedTime : 2023-12-25 16:50:07) != (Last Basic_Info_Changed Event Time : 2023-12-25 16:49:18))"""
