source,lsn/usn,category,detail
logfile,10588513220,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_MAC_Manipulation.dll"" is changed to the past. => CreationTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41"""
logfile,10588513743,Timestamp Manipulation,"[Suspicious] $SI timestamp of PowerShell_SI_MAC_Manipulation.dll"" is changed to the past. => ModifiedTime : 2023-12-31 00:38:02 -> 2022-12-24 11:24:41"""
usnjrnl,1754186016,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.72.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754186736,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.73.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754187456,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.74.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754188176,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.75.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754188896,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.76.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754189616,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.77.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754190400,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.78.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754191120,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.79.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754191840,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.80.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754192560,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.81.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754193280,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.82.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754194064,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.83.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754194784,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.84.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754195504,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.85.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754196224,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.86.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754196944,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.87.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754197664,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.88.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:17))"""
usnjrnl,1754198448,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.164824.113.89.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754199168,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754199888,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754200608,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754201328,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.181843.333.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754202112,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.183040.874.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754202832,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.184944.109.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754203640,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.191048.081.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754204536,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.193041.301.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754208416,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.231817.373.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754209248,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.235013.988.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754211056,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231226.001944.806.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754212496,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231226.010558.490.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754213216,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.004534.197.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754213936,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.014918.931.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754214688,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.024016.873.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754215408,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.034017.132.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754216128,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.040129.253.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754216848,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.044017.181.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754217568,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.054017.182.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754218288,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.064017.196.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754219072,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.074017.195.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754219792,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.083512.034.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754220512,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.084749.101.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754221232,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.094749.424.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754221952,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.104749.422.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
usnjrnl,1754222736,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231227.114749.422.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-31 00:36:32) != (Creation Event Time : 2023-12-31 00:21:18))"""
