source,lsn/usn,category,detail
usnjrnl,1717097544,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.173759.428.2.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717098264,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.175817.420.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717098984,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.181843.333.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:26:44))"""
usnjrnl,1717099704,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.183040.874.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717100544,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.184944.109.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717101984,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.193041.301.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717102704,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.203041.323.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717103424,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.213041.312.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717104232,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.223041.336.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717105216,Timestamp Manipulation,"[Suspicious] The timestamp of WindowsUpdate.20231225.231817.373.1.etl"" may have been manipulated. => ((CreationTime : 2023-12-26 22:59:51) != (Creation Event Time : 2023-12-26 22:39:35))"""
usnjrnl,1717631080,Timestamp Manipulation,"[Malicious] The timestamp of nTimestomp_SI_MACE_Manipulation.dll"" may have been manipulated after executing nTimestomp. => ((CreationTime : 2022-12-22 23:19:23) != (Creation Event Time : 2023-12-26 23:03:30))"""
