Algorithm,CV F1,Train Recall,Train Precision,Train F1,Time (min)
LightGBM (base),0.6324786324786325,1.0,0.4625,0.6324786324786325,0.0
Random Forest (tuned),0.6067080027029463,1.0,0.4463087248322148,0.617169373549884,0.3363852143287659
XGBoost (tuned),0.6109784182584764,1.0,0.4463087248322148,0.617169373549884,0.11718081633249919
LightGBM (tuned),0.6109784182584764,1.0,0.44481605351170567,0.6157407407407407,0.34399115244547523
Logistic Reg (tuned),0.5665842174606477,1.0,0.40610687022900765,0.5776330076004343,0.16626304785410564
