merge_key,lf_lsn,EventTime(UTC+8),lf_event,lf_detail,File/Directory Name,lf_full_path,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,Redo,Target VCN,Cluster Index,usn_event_time,usn_usn,usn_filename,usn_full_path,usn_event_info,SourceInfo,FileAttribute,Carving Flag,usn_file_reference_number,usn_parent_file_reference_number,suspicious_category,suspicious_detail,suspicious_source,lf_event_count,usn_event_count,has_logfile_evidence,has_usnjrnl_evidence,cross_artifact_validation_score,has_suspicious_label,filename,full_path,zero_in_nanoseconds_lf,zero_in_nanoseconds_suspicious,zero_in_nanoseconds_combined,is_flagged_suspicious,ground_truth_label
7a09b55c-51b5-45cb-bce9-9a810b88dcef.tmp,,,,,,,,,,,,,,12/26/22 21:20,748000960.0,7a09b55c-51b5-45cb-bce9-9a810b88dcef.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a09b55c-51b5-45cb-bce9-9a810b88dcef.tmp,Basic_Info_Changed,Normal,Archive,,0x0045000000008255,0x000200000001B982,,,,0,3,False,True,0.5,False,7a09b55c-51b5-45cb-bce9-9a810b88dcef.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a09b55c-51b5-45cb-bce9-9a810b88dcef.tmp,False,False,False,False,0
7a1adcfc-803d-45aa-a64f-fac346fe6a92.tmp,,,,,,,,,,,,,,12/26/22 20:48,746969816.0,7a1adcfc-803d-45aa-a64f-fac346fe6a92.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a1adcfc-803d-45aa-a64f-fac346fe6a92.tmp,Basic_Info_Changed,Normal,Archive,,0x0079000000008129,0x000200000001B982,,,,0,3,False,True,0.5,False,7a1adcfc-803d-45aa-a64f-fac346fe6a92.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a1adcfc-803d-45aa-a64f-fac346fe6a92.tmp,False,False,False,False,0
7a21c401-756e-49c7-93e2-ae3a836c8587.tmp,,,,,,,,,,,,,,12/26/22 20:56,747222672.0,7a21c401-756e-49c7-93e2-ae3a836c8587.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a21c401-756e-49c7-93e2-ae3a836c8587.tmp,Basic_Info_Changed,Normal,Archive,,0x007800000000823D,0x000200000001B982,,,,0,3,False,True,0.5,False,7a21c401-756e-49c7-93e2-ae3a836c8587.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a21c401-756e-49c7-93e2-ae3a836c8587.tmp,False,False,False,False,0
7a450189-20ce-40b9-b51e-2ea132a95704.tmp,,,,,,,,,,,,,,12/26/22 17:14,739746080.0,7a450189-20ce-40b9-b51e-2ea132a95704.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\7a450189-20ce-40b9-b51e-2ea132a95704.tmp,Basic_Info_Changed,Normal,Archive,,0x0015000000008468,0x0004000000055194,,,,0,3,False,True,0.5,False,7a450189-20ce-40b9-b51e-2ea132a95704.tmp,\Users\blueangel\AppData\Roaming\Microsoft\Teams\Partitions\msa\7a450189-20ce-40b9-b51e-2ea132a95704.tmp,False,False,False,False,0
7a6968d7-3890-46ef-9e27-59268345d7ec.tmp,,,,,,,,,,,,,,12/26/22 17:49,740953256.0,7a6968d7-3890-46ef-9e27-59268345d7ec.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a6968d7-3890-46ef-9e27-59268345d7ec.tmp,Basic_Info_Changed,Normal,Archive,,0x007100000000836C,0x000200000001B982,,,,0,3,False,True,0.5,False,7a6968d7-3890-46ef-9e27-59268345d7ec.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a6968d7-3890-46ef-9e27-59268345d7ec.tmp,False,False,False,False,0
7a83f4d3-ccf0-4d67-99bb-746419e507a5.tmp,,,,,,,,,,,,,,12/26/22 18:39,742593232.0,7a83f4d3-ccf0-4d67-99bb-746419e507a5.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a83f4d3-ccf0-4d67-99bb-746419e507a5.tmp,Basic_Info_Changed,Normal,Archive,,0x00500000000082F5,0x000200000001B982,,,,0,3,False,True,0.5,False,7a83f4d3-ccf0-4d67-99bb-746419e507a5.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7a83f4d3-ccf0-4d67-99bb-746419e507a5.tmp,False,False,False,False,0
7ab9d739d8f1f711.ini,,,,,,,,,,,,,,12/27/22 12:42,750499152.0,7ab9d739d8f1f711.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.ini,Basic_Info_Changed / File_Renamed_New / Access_Right_Changed,Normal,Archive,,0x001500000001C3BD,0x000100000001AB1F,,,,0,14,False,True,0.5,False,7ab9d739d8f1f711.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.ini,False,False,False,False,0
7ab9d739d8f1f711.temp.ini,4396126026.0,1/2/23 2:16,Time Reversal Event,CreationTime : 2022-12-29 23:36:15 -> 2022-12-26 01:51:57(same as 7ab9d739d8f1f711.ini),7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,,,,,Update Resident Value,0x6877,4.0,12/27/22 12:42,750498592.0,7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,Basic_Info_Changed,Normal,Archive,,0x001500000001C3BD,0x000100000001AB1F,,,,42,42,True,True,1.0,False,7ab9d739d8f1f711.temp.ini,\Users\blueangel\AppData\Local\Microsoft\OneDrive\settings\Personal\7ab9d739d8f1f711.temp.ini,False,False,False,False,0
7abc1107-a092-434a-85f5-132deb1a7bca.tmp,,,,,,,,,,,,,,12/26/22 16:05,737361136.0,7abc1107-a092-434a-85f5-132deb1a7bca.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7abc1107-a092-434a-85f5-132deb1a7bca.tmp,Basic_Info_Changed,Normal,Archive,,0x001800000000826B,0x000200000001B982,,,,0,3,False,True,0.5,False,7abc1107-a092-434a-85f5-132deb1a7bca.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7abc1107-a092-434a-85f5-132deb1a7bca.tmp,False,False,False,False,0
7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,4353667444.0,12/29/22 23:30,Time Reversal Event,CreationTime : 2022-12-29 23:30:10 -> 2022-12-16 18:03:52(same as Nigori.bin),7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,,,,,Update Resident Value,0x9652,0.0,12/29/22 23:30,764677768.0,7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,Basic_Info_Changed,Normal,Archive,,0x0012000000025948,0x000200000001B0ED,,,,3,3,True,True,1.0,False,7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7abee978-6cde-450c-aef7-a73c663a6c3d.tmp,False,False,False,False,0
