case_id,total_labels,timestomp_labels,tool_exec_labels,lf_labels,lf_matched,lf_missing,usn_labels,usn_matched,usn_missing
1,4,2,2,2,2,0,2,2,0
2,3,1,2,2,2,0,1,1,0
3,4,2,2,2,2,0,2,2,0
4,58,58,0,1,1,0,57,1,56
5,1,1,0,1,1,0,0,0,0
6,72,72,0,2,2,0,70,69,1
7,4,2,2,2,2,0,2,2,0
8,35,33,2,2,2,0,33,32,1
9,38,36,2,2,2,0,36,36,0
10,31,31,0,0,0,0,31,31,0
11,93,91,2,2,2,0,91,2,89
12,161,159,2,4,4,0,157,68,89
