filename,full_path,lf_lsn,usn_usn,confidence_pct,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence
System.Drawing.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Drawing\567ff6b0de7f9dcd8111001e94ab7cf6\System.Drawing.ni.dll.aux,4412649322.0,739898848.0,99.89813791629989,False,False,True,True,1.0,True,True,True
System.Security.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Security\bde2021ecdaa53585a395f095971633c\System.Security.ni.dll.aux,4412648820.0,739898160.0,99.89813791629989,False,False,True,True,1.0,True,True,True
System.Runtime.ni.dll.aux,\Windows\assembly\NativeImages_v4.0.30319_64\System.Runtime\27029c23ebe3023e1c1949c1cdb43249\System.Runtime.ni.dll.aux,4412649075.0,739898384.0,99.89813791629989,False,False,True,True,1.0,True,True,True
WmiApRpl.ini,\Windows\System32\wbem\Performance\WmiApRpl.ini,4413001026.0,769222784.0,99.88900102588235,False,False,True,True,1.0,True,True,True
WaasRemediation.002.etl,\Windows\Logs\waasmediccapsule\WaasRemediation.002.etl,4400134311.0,767478296.0,99.88516629511756,False,False,True,True,1.0,True,True,True
WmiApRpl.h,\Windows\System32\wbem\Performance\WmiApRpl.h,4402367221.0,769222360.0,99.8824939376727,False,False,True,True,1.0,True,True,True
lsdb2.json.new,\ProgramData\Avast Software\Avast\lsdb2.json.new,4402117100.0,744916808.0,99.83961176815414,False,False,True,True,1.0,True,True,True
asw1d46a7166ad3d765.tmp,\Windows\Temp\asw1d46a7166ad3d765.tmp,4413683775.0,769458512.0,99.76354554294842,False,False,True,True,1.0,True,True,True
aswad2510ffe768eff5.tmp,\Windows\Temp\aswad2510ffe768eff5.tmp,4413685125.0,769459408.0,99.76354554294842,False,False,True,True,1.0,True,True,True
asw3f1e93707c23433a.tmp,\Windows\Temp\asw3f1e93707c23433a.tmp,4413687854.0,769461312.0,99.76354554294842,False,False,True,True,1.0,True,True,True
asw842bda8790dd58f4.tmp,\Windows\Temp\asw842bda8790dd58f4.tmp,4413686521.0,769460416.0,99.76354554294842,False,False,True,True,1.0,True,True,True
BIT74A1.tmp,\Users\blueangel\AppData\Local\Temp\BIT74A1.tmp,4399721567.0,767291296.0,99.76288903371022,True,True,True,True,1.0,True,True,True
BIT74C1.tmp,\Users\blueangel\AppData\Local\Temp\BIT74C1.tmp,4399720015.0,767290248.0,99.76288903371022,True,True,True,True,1.0,True,True,True
tokens.dat,\ProgramData\Microsoft\Windows\ClipSVC\tokens.dat,4412612903.0,739835440.0,99.73841846104162,False,False,True,True,1.0,True,True,True
UDD5DA.tmp,\Windows\Temp\UDD5DA.tmp,4399213767.0,767075728.0,99.67630810071844,False,False,True,True,1.0,True,True,True
BITBE7D.tmp,\Windows\Temp\BITBE7D.tmp,4400253726.0,767541984.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BITD235.tmp,\Windows\Temp\BITD235.tmp,4400474733.0,767574576.0,99.60955014368511,True,True,True,True,1.0,True,True,True
BITD61F.tmp,\Windows\Temp\BITD61F.tmp,4400528164.0,767588800.0,99.60955014368511,True,True,True,True,1.0,True,True,True
03d18579e9b4412d4f6cd37aed7d4b62a3ad95defd0968e3711807a5b055e41a,\Users\blueangel\Desktop\Sample\03d18579e9b4412d4f6cd37aed7d4b62a3ad95defd0968e3711807a5b055e41a,4413874540.0,769515904.0,99.22425653447614,True,True,True,True,1.0,True,True,True
Microsoft-Desktop-Provisioning-Sequence.dat,\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat,4403938604.0,753998640.0,99.19639765781105,False,False,True,True,1.0,True,True,True
IEXPLORE.EXE,\Program Files\Internet Exp1orer\IEXPLORE.EXE,4413902725.0,769523240.0,99.13075769224572,False,False,True,True,1.0,True,True,True
