LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index
202591755,,File Deletion,,crossdomain.xml,\Documents and Settings\Jean\Local Settings\Temp\plugtmp\crossdomain.xml,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,Deallocate File Record Segment,0x11D8,0
202593933,,# Check Point,,,,,,,,Noop,0xC135408,0
202594025,7/21/08 7:53,File Creation,,sessionstore-1.js,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\sessionstore-1.js,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,Initialize File Record Segment,0x11D8,0
202594100,,Updating Modified Time,ModifiedTime : 2008-07-21 07:53:19 -> 2008-07-21 07:53:47,c3xj7bxx.default <Guessed>,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default,,,,,Update Resident Value,0x11A3,2
202594348,,Writing Content of Non-Resident File,Data Runs(in Volume) : 93662(2),sessionstore-1.js,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\sessionstore-1.js,,,,,Update Mapping Pairs,0x11D8,0
202594511,,File Deletion,,sessionstore.js,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\sessionstore.js,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,7/21/08 7:53,Deallocate File Record Segment,0x17CE,2
202594640,,Renaming File,sessionstore-1.js -> sessionstore.js,sessionstore.js,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\sessionstore.js,,,,,Create Attribute,0x11D8,0
202597073,,# Check Point,,,,,,,,Noop,0xC13604C,0
202599037,,# Check Point,,,,,,,,Noop,0xC1368B6,0
202599073,,Updating Modified Time,ModifiedTime : 2008-07-21 07:53:44 -> 2008-07-21 07:54:03,alisonm57.html <Guessed>,\Documents and Settings\Jean\My Documents\AIMLogger\m57jean\IM Logs\alisonm57.html,,,,,Update Resident Value,0x1F70,4
202601324,,# Check Point,,,,,,,,Noop,0xC1370E7,0
202601360,,Updating Modified Time,ModifiedTime : 2008-07-21 07:54:03 -> 2008-07-21 07:54:13,alisonm57.html <Guessed>,\Documents and Settings\Jean\My Documents\AIMLogger\m57jean\IM Logs\alisonm57.html,,,,,Update Resident Value,0x1F70,4
202603591,,# Check Point,,,,,,,,Noop,0xC1379BA,0
202603655,,Updating Modified Time,ModifiedTime : 2008-07-21 07:54:13 -> 2008-07-21 07:54:17,alisonm57.html <Guessed>,\Documents and Settings\Jean\My Documents\AIMLogger\m57jean\IM Logs\alisonm57.html,,,,,Update Resident Value,0x1F70,4
202606011,,# Check Point,,,,,,,,Noop,0xC138336,0
202608003,,# Check Point,,,,,,,,Noop,0xC138BBC,0
202608097,7/21/08 7:54,File Creation,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Initialize File Record Segment,0x17C9,0
202608182,7/21/08 7:54,Writing Content of Resident File,Writing Size : 512,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,,,,,Update Resident Value,0x17C9,0
202608599,7/21/08 7:54,File Deletion,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Deallocate File Record Segment,0x17C9,0
202608723,7/21/08 7:54,File Creation,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Initialize File Record Segment,0x17C9,0
202608800,7/21/08 7:54,Writing Content of Resident File,Writing Size : 512,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,,,,,Update Resident Value,0x17C9,0
202609198,7/21/08 7:54,File Deletion,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Deallocate File Record Segment,0x17C9,0
202609311,7/21/08 7:54,File Creation,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Initialize File Record Segment,0x17C9,0
202609388,7/21/08 7:54,Writing Content of Resident File,Writing Size : 512,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,,,,,Update Resident Value,0x17C9,0
202609786,7/21/08 7:54,File Deletion,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Deallocate File Record Segment,0x17C9,0
202609899,7/21/08 7:54,File Creation,,cookies.sqlite-journal,\Documents and Settings\Jean\Application Data\Mozilla\Firefox\Profiles\c3xj7bxx.default\cookies.sqlite-journal,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,7/21/08 7:54,Initialize File Record Segment,0x17C9,0
