mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.885250377655029,0.5414915449325917,0.09811358451843262,0.019070878229282485,10,log2,5,20,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",0.875,0.028985507246376812,0.3924050632911392,0.8755364806866953,0.7710843373493976,0.5886022777147218,0.33145704728995096,1,0.60625,0.7395626242544732,0.6720321931589537,0.44761904761904764,0.5758620689655173,0.6082651867995984,0.09814932831056392
24.15166096687317,0.8285094102474292,0.5468812465667725,0.1857212112373235,10,sqrt,5,10,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8,0.04316546762589928,0.389937106918239,0.8755364806866953,0.7901234567901234,0.5797525024041914,0.3175558504297274,2,0.609105180533752,0.7410358565737052,0.6693386773547094,0.44761904761904764,0.5890652557319224,0.6112328035626273,0.09745820974210731
19.32657504081726,0.3700404437328688,0.34429421424865725,0.08947862142972383,10,sqrt,5,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.8,0.04316546762589928,0.389937106918239,0.8755364806866953,0.7901234567901234,0.5797525024041914,0.3175558504297274,2,0.609105180533752,0.7410358565737052,0.6693386773547094,0.44761904761904764,0.5890652557319224,0.6112328035626273,0.09745820974210731
13.010241794586182,0.6305833174010174,0.21753597259521484,0.08641027048477615,10,sqrt,5,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.75,0.04316546762589928,0.389937106918239,0.8755364806866953,0.7901234567901234,0.5697525024041914,0.311186066831777,4,0.622792937399679,0.7410358565737052,0.6666666666666666,0.4486873508353222,0.5890652557319224,0.6136496134414591,0.09689024922371053
12.55861930847168,0.6096301023362692,0.19517393112182618,0.03782997337174175,10,sqrt,5,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.75,0.04316546762589928,0.389937106918239,0.8755364806866953,0.7901234567901234,0.5697525024041914,0.311186066831777,4,0.622792937399679,0.7410358565737052,0.6666666666666666,0.4486873508353222,0.5890652557319224,0.6136496134414591,0.09689024922371053
10.636647129058838,0.26755436440409425,0.16663126945495604,0.017842609768033185,10,log2,5,20,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",0.8235294117647058,0.04316546762589928,0.389937106918239,0.827906976744186,0.7441860465116279,0.5657450019129315,0.3069269277875896,6,0.5969230769230769,0.7395626242544732,0.6693386773547094,0.4895833333333333,0.5738831615120275,0.6138581746755241,0.08509844913441725
5.907206249237061,0.7896150468099231,0.0919909954071045,0.012727752792295387,10,log2,10,20,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 100}",0.875,0.028985507246376812,0.389937106918239,0.8240740740740741,0.7070707070707071,0.5650134790618794,0.31665817966146526,7,0.568081991215227,0.7223300970873786,0.6666666666666666,0.48704663212435234,0.5632377740303541,0.6014726322247956,0.08309866151387027
5.180294990539551,0.3756823310562587,0.08561477661132813,0.020050828807999275,10,log2,10,5,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.875,0.028985507246376812,0.389937106918239,0.8240740740740741,0.7070707070707071,0.5650134790618794,0.31665817966146526,7,0.568081991215227,0.7223300970873786,0.6666666666666666,0.48704663212435234,0.5632377740303541,0.6014726322247956,0.08309866151387027
4.6286579132080075,0.16822690572926335,0.10672965049743652,0.02091103277509548,10,log2,10,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.875,0.028985507246376812,0.389937106918239,0.8240740740740741,0.7070707070707071,0.5650134790618794,0.31665817966146526,7,0.568081991215227,0.7223300970873786,0.6666666666666666,0.48704663212435234,0.5632377740303541,0.6014726322247956,0.08309866151387027
6.043826293945313,0.5233535645213783,0.1283496856689453,0.019893738569272148,10,log2,2,10,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8,0.014598540145985401,0.3924050632911392,0.827906976744186,0.7901234567901234,0.5650068073942868,0.3186711245698818,10,0.6990990990990991,0.7530364372469636,0.6733870967741935,0.5802469135802469,0.5901060070671378,0.6591751107535281,0.06573591924700202
7.207792568206787,0.23928362213419063,0.19498147964477539,0.08391243476385546,10,sqrt,5,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8,0.028985507246376812,0.389937106918239,0.8225806451612904,0.7804878048780488,0.564398212840791,0.311757766559238,11,0.6015503875968993,0.75,0.6693386773547094,0.43317972350230416,0.5869947275922671,0.608212703209236,0.10485337874399007
8.006875991821289,1.2102734046043138,0.12589850425720214,0.018156207253103494,10,sqrt,5,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.8,0.028985507246376812,0.389937106918239,0.8225806451612904,0.7804878048780488,0.564398212840791,0.311757766559238,11,0.6015503875968993,0.75,0.6693386773547094,0.43317972350230416,0.5869947275922671,0.608212703209236,0.10485337874399007
14.807176208496093,0.4423915574019566,0.22655563354492186,0.11308373992660303,10,log2,5,20,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",0.7368421052631579,0.04316546762589928,0.389937106918239,0.827906976744186,0.7619047619047619,0.5519512836912488,0.29648886102129857,13,0.5950920245398773,0.7395626242544732,0.6693386773547094,0.4895833333333333,0.5758620689655173,0.6138877456895822,0.08499388105025399
9.306756639480591,0.38393557072926415,0.1506744384765625,0.016422093928905354,10,log2,10,20,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 200}",0.7368421052631579,0.04316546762589928,0.389937106918239,0.8225806451612904,0.7070707070707071,0.5399192064078587,0.28840064091008744,14,0.5697503671071953,0.7395626242544732,0.6587771203155819,0.43119266055045874,0.5632377740303541,0.5925041092516127,0.10335758653456868
8.482179069519043,0.5929242034481331,0.20260581970214844,0.1284925211881644,10,log2,10,10,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.7368421052631579,0.04316546762589928,0.389937106918239,0.8225806451612904,0.7070707070707071,0.5399192064078587,0.28840064091008744,14,0.5697503671071953,0.7395626242544732,0.6587771203155819,0.43119266055045874,0.5632377740303541,0.5925041092516127,0.10335758653456868
9.365619564056397,0.5892963838432063,0.1076427936553955,0.03135244692321234,10,log2,10,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7368421052631579,0.04316546762589928,0.389937106918239,0.8225806451612904,0.7070707070707071,0.5399192064078587,0.28840064091008744,14,0.5697503671071953,0.7395626242544732,0.6587771203155819,0.43119266055045874,0.5632377740303541,0.5925041092516127,0.10335758653456868
15.488711595535278,0.8174203048331914,0.3638918399810791,0.06292076101722602,10,log2,10,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.7,0.04316546762589928,0.389937106918239,0.8292682926829268,0.6938775510204082,0.5312496836494945,0.2835260235385893,17,0.5731166912850812,0.7366336633663366,0.6536203522504892,0.4341801385681293,0.5632377740303541,0.5921577239000781,0.10080356507507524
13.338476276397705,0.8036604974401977,0.3364954948425293,0.05677590269032086,10,log2,10,5,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 300}",0.7,0.04316546762589928,0.389937106918239,0.8292682926829268,0.6938775510204082,0.5312496836494945,0.2835260235385893,17,0.5731166912850812,0.7366336633663366,0.6536203522504892,0.4341801385681293,0.5632377740303541,0.5921577239000781,0.10080356507507524
13.743449592590332,0.29407220168222864,0.2754028797149658,0.03469770663563296,10,log2,10,20,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 300}",0.7,0.04316546762589928,0.389937106918239,0.8292682926829268,0.6938775510204082,0.5312496836494945,0.2835260235385893,17,0.5731166912850812,0.7366336633663366,0.6536203522504892,0.4341801385681293,0.5632377740303541,0.5921577239000781,0.10080356507507524
8.90379066467285,0.8414302734483651,0.12373533248901367,0.03215170637129495,10,sqrt,2,20,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 100}",0.8571428571428571,0.03333333333333333,0.3924050632911392,0.46153846153846156,0.7901234567901234,0.5069086344191829,0.297428220774127,20,0.7918367346938775,0.8815165876777251,0.7167381974248928,0.706766917293233,0.5869947275922671,0.7367706329363991,0.09769136115677371
