Metric,Baseline,Optimized,Improvement,% Change
Threshold,0.5,0.5,0.0,
F1-Score,0.7346938775510204,0.7346938775510204,0.0,0.0
Recall,0.9230769230769231,0.9230769230769231,0.0,0.0
Precision,0.6101694915254238,0.6101694915254238,0.0,0.0
FNR,0.07692307692307693,0.07692307692307693,0.0,0.0
FPR,0.0010237692513130954,0.0010237692513130954,0.0,0.0
False Alarms,46.0,46.0,0.0,0.0
Workload,0.6388888888888888,0.6388888888888888,0.0,0.0
