lf_lsn,eventtime,lf_event,lf_detail,filename,filepath,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,lf_redo,lf_target_vcn,lf_cluster_index,case_id,eventtime_dt,merge_key,usn_usn,usn_event_info,usn_source_info,usn_file_attribute,usn_carving_flag,usn_file_reference_number,usn_parent_file_reference_number,source,time_diff_seconds,is_tunneling,is_timestomped,suspected_tool
10050628526.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Boot Sector NTFS.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector NTFS.tpl,,,,,Update Resident Value,0x2FDF,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Boot Sector NTFS.tpl|Boot Sector NTFS.tpl,1715809288.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x002400000000BF7F,0x000F0000000071DC,both,0.0,False,0,Unknown
10050629392.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Dialogs.dat,\Users\blueangel\AppData\Local\Temp\RarSFX1\Dialogs.dat,,,,,Update Resident Value,0x2FEC,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Dialogs.dat|Dialogs.dat,1715809760.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000800000000BFB3,0x000F0000000071DC,both,0.0,False,0,Unknown
10050630121.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),ebcdic.dat,\Users\blueangel\AppData\Local\Temp\RarSFX1\ebcdic.dat,,,,,Update Resident Value,0x2FF1,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\ebcdic.dat|ebcdic.dat,1715810176.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000F00000000BFC6,0x000F0000000071DC,both,0.0,False,0,Unknown
10050631105.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Ext Directory Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Directory Entry.tpl,,,,,Update Resident Value,0x2FF2,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Directory Entry.tpl|Ext Directory Entry.tpl,1715810720.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFC8,0x000F0000000071DC,both,0.0,False,0,Unknown
10050631969.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Ext Group Descriptor.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Group Descriptor.tpl,,,,,Update Resident Value,0x2FF3,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Group Descriptor.tpl|Ext Group Descriptor.tpl,1715811280.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFCC,0x000F0000000071DC,both,0.0,False,0,Unknown
10050632929.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Ext Inode.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Inode.tpl,,,,,Update Resident Value,0x2FF4,2.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Inode.tpl|Ext Inode.tpl,1715811768.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFD1,0x000F0000000071DC,both,0.0,False,0,Unknown
10050633883.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Ext Superblock.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Superblock.tpl,,,,,Update Resident Value,0x2FF4,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Ext Superblock.tpl|Ext Superblock.tpl,1715812232.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFD2,0x000F0000000071DC,both,0.0,False,0,Unknown
10050634861.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),FAT Directory Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT Directory Entry.tpl,,,,,Update Resident Value,0x2FF5,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT Directory Entry.tpl|FAT Directory Entry.tpl,1715812760.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFD6,0x000F0000000071DC,both,0.0,False,0,Unknown
10050635821.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),FAT LFN Entry.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT LFN Entry.tpl,,,,,Update Resident Value,0x2FF6,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\FAT LFN Entry.tpl|FAT LFN Entry.tpl,1715813272.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFD8,0x000F0000000071DC,both,0.0,False,0,Unknown
10050636787.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),File Type Signatures Search.txt,\Users\blueangel\AppData\Local\Temp\RarSFX1\File Type Signatures Search.txt,,,,,Update Resident Value,0x2FF6,2.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\File Type Signatures Search.txt|File Type Signatures Search.txt,1715813848.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFD9,0x000F0000000071DC,both,0.0,False,0,Unknown
